,,,
"SILICON VALLEY FOOD TECH PVT LTD, KOTTAKKAL",,,
PROFIT AND LOSS ACCOUNT FOR THE PERIOD APRIL 2026,,,
PARTICULARS,,NOTES,AMOUNT
Revenue from operations,,12,10189960.07
Other Income,,13,300.90
,Total Income,,10190260.97
,,,
Cost of Good sold,,14,7332201.30
Employees benefits expenses,,15,854052.00
Finance cost,,16,62351.00
Directors expenses,,17,200000.00
Marketing expenses,,18,320069.58
Sampling expenses,,19,28729.00
Transportation expenses,,20,187351.50
Other expenses,,21,411435.75
,Total Expenses,,9396190.13
,,,
Profit before exceptional and extraordinary items and tax,,,794070.84
,,,
Exceptional items,,,0.00
,,,
Profit before tax,,,794070.84
,,,
Current Tax,,,0.00
Deferred Tax,,,0.00
,,,
Profit after tax,,,794070.84
