"SILICON VALLEY FOOD TECH PVT LTD, KOTTAKKAL",,,,
PROFIT AND LOSS ACCOUNT FOR THE PERIOD 2025-26,,,,
PARTICULARS,,NOTES,,AMOUNT
Revenue from operations,,12,,53747272.69
Other Income,,13,,300767.32
,Total Income,,,54048040.01
,,,,
Cost of Good sold,,14,,40028012.63
Employees benefits expenses,,15,,5447400.00
Finance cost,,16,,157954.03
Directors expenses,,17,,900000.00
Marketing expenses,,18,,3663965.45
Sampling expenses,,19,,384572.72
Transportation expenses,,20,,1012631.01
Other expenses,,21,,2296052.82
Primery & production expenses,,22,,231796.00
Registration & renewal,,23,,104211.00
,Total Expenses,,,54226595.66
,,,,
Profit before exceptional and extraordinary items and tax,,,,-178555.65
,,,,
Depreciation,,,,568964.97
,,,,
Profit before tax,,,,-747520.62
,,,,
Current Tax,,,,0.00
Deferred Tax,,,,0.00
,,,,
Profit after tax,,,,-747520.62
