"SILICON VALLEY FOOD TECH PVT LTD, KOTTAKKAL",,,
PROFIT AND LOSS ACCOUNT FOR THE PERIOD MAY 2026,,,
PARTICULARS,,NOTES,AMOUNT
Revenue from operations,,12,10820170.57
Other Income,,13,-0.14
,Total Income,,10820170.43
,,,
Cost of Good sold,,14,8281199.29
Employees benefits expenses,,15,914322.00
Finance cost,,16,52194.60
Directors expenses,,17,200000.00
Marketing expenses,,18,537679.66
Sampling expenses,,19,33831.00
Transportation expenses,,20,202214.50
Other expenses,,21,380546.98
,Total Expenses,,10601988.03
,,,
Profit before exceptional and extraordinary items and tax,,,218182.40
,,,
Exceptional items,,,0.00
,,,
Profit before tax,,,218182.40
,,,
Current Tax,,,0.00
Deferred Tax,,,0.00
,,,
Profit after tax,,,218182.40
